| time  | reset |ARegis|DRegis|      PC[]       |
| 1266  |   0   | 0011 | 005b | 000000000000110 |
| 1267  |   0   | 0064 | 005b | 000000000000111 |
| 1268  |   0   | 0064 | fff7 | 000000000001000 |
| 1269  |   0   | 0012 | fff7 | 000000000001001 |
| 1270  |   0   | 0012 | fff7 | 000000000001010 |
| 1271  |   0   | 0011 | fff7 | 000000000001011 |
| 1272  |   0   | 0011 | 005b | 000000000001100 |
| 1273  |   0   | 0010 | 005b | 000000000001101 |
| 1274  |   0   | 0010 | 005b | 000000000001110 |
| 1275  |   0   | 0011 | 005b | 000000000001111 |
| 1276  |   0   | 0011 | 005b | 000000000010000 |
| 1277  |   0   | 0004 | 005b | 000000000010001 |
| 1278  |   0   | 0004 | 005b | 000000000000100 |
| 1279  |   0   | 0011 | 005b | 000000000000101 |
| 1280  |   0   | 0011 | 005c | 000000000000110 |
| 1281  |   0   | 0064 | 005c | 000000000000111 |
| 1282  |   0   | 0064 | fff8 | 000000000001000 |
| 1283  |   0   | 0012 | fff8 | 000000000001001 |
| 1284  |   0   | 0012 | fff8 | 000000000001010 |
| 1285  |   0   | 0011 | fff8 | 000000000001011 |
| 1286  |   0   | 0011 | 005c | 000000000001100 |
| 1287  |   0   | 0010 | 005c | 000000000001101 |
| 1288  |   0   | 0010 | 005c | 000000000001110 |
| 1289  |   0   | 0011 | 005c | 000000000001111 |
| 1290  |   0   | 0011 | 005c | 000000000010000 |
| 1291  |   0   | 0004 | 005c | 000000000010001 |
| 1292  |   0   | 0004 | 005c | 000000000000100 |
| 1293  |   0   | 0011 | 005c | 000000000000101 |
| 1294  |   0   | 0011 | 005d | 000000000000110 |
| 1295  |   0   | 0064 | 005d | 000000000000111 |
| 1296  |   0   | 0064 | fff9 | 000000000001000 |
| 1297  |   0   | 0012 | fff9 | 000000000001001 |
| 1298  |   0   | 0012 | fff9 | 000000000001010 |
| 1299  |   0   | 0011 | fff9 | 000000000001011 |
| 1300  |   0   | 0011 | 005d | 000000000001100 |
| 1301  |   0   | 0010 | 005d | 000000000001101 |
| 1302  |   0   | 0010 | 005d | 000000000001110 |
| 1303  |   0   | 0011 | 005d | 000000000001111 |
| 1304  |   0   | 0011 | 005d | 000000000010000 |
| 1305  |   0   | 0004 | 005d | 000000000010001 |
| 1306  |   0   | 0004 | 005d | 000000000000100 |
| 1307  |   0   | 0011 | 005d | 000000000000101 |
| 1308  |   0   | 0011 | 005e | 000000000000110 |
| 1309  |   0   | 0064 | 005e | 000000000000111 |
| 1310  |   0   | 0064 | fffa | 000000000001000 |
| 1311  |   0   | 0012 | fffa | 000000000001001 |
| 1312  |   0   | 0012 | fffa | 000000000001010 |
| 1313  |   0   | 0011 | fffa | 000000000001011 |
| 1314  |   0   | 0011 | 005e | 000000000001100 |
| 1315  |   0   | 0010 | 005e | 000000000001101 |
| 1316  |   0   | 0010 | 005e | 000000000001110 |
| 1317  |   0   | 0011 | 005e | 000000000001111 |
| 1318  |   0   | 0011 | 005e | 000000000010000 |
| 1319  |   0   | 0004 | 005e | 000000000010001 |
| 1320  |   0   | 0004 | 005e | 000000000000100 |
| 1321  |   0   | 0011 | 005e | 000000000000101 |
| 1322  |   0   | 0011 | 005f | 000000000000110 |
| 1323  |   0   | 0064 | 005f | 000000000000111 |
| 1324  |   0   | 0064 | fffb | 000000000001000 |
| 1325  |   0   | 0012 | fffb | 000000000001001 |
| 1326  |   0   | 0012 | fffb | 000000000001010 |
| 1327  |   0   | 0011 | fffb | 000000000001011 |
| 1328  |   0   | 0011 | 005f | 000000000001100 |
| 1329  |   0   | 0010 | 005f | 000000000001101 |
| 1330  |   0   | 0010 | 005f | 000000000001110 |
| 1331  |   0   | 0011 | 005f | 000000000001111 |
| 1332  |   0   | 0011 | 005f | 000000000010000 |
| 1333  |   0   | 0004 | 005f | 000000000010001 |
| 1334  |   0   | 0004 | 005f | 000000000000100 |
| 1335  |   0   | 0011 | 005f | 000000000000101 |
| 1336  |   0   | 0011 | 0060 | 000000000000110 |
| 1337  |   0   | 0064 | 0060 | 000000000000111 |
| 1338  |   0   | 0064 | fffc | 000000000001000 |
| 1339  |   0   | 0012 | fffc | 000000000001001 |
| 1340  |   0   | 0012 | fffc | 000000000001010 |
| 1341  |   0   | 0011 | fffc | 000000000001011 |
| 1342  |   0   | 0011 | 0060 | 000000000001100 |
| 1343  |   0   | 0010 | 0060 | 000000000001101 |
| 1344  |   0   | 0010 | 0060 | 000000000001110 |
| 1345  |   0   | 0011 | 0060 | 000000000001111 |
| 1346  |   0   | 0011 | 0060 | 000000000010000 |
| 1347  |   0   | 0004 | 0060 | 000000000010001 |
| 1348  |   0   | 0004 | 0060 | 000000000000100 |
| 1349  |   0   | 0011 | 0060 | 000000000000101 |
| 1350  |   0   | 0011 | 0061 | 000000000000110 |
| 1351  |   0   | 0064 | 0061 | 000000000000111 |
| 1352  |   0   | 0064 | fffd | 000000000001000 |
| 1353  |   0   | 0012 | fffd | 000000000001001 |
| 1354  |   0   | 0012 | fffd | 000000000001010 |
| 1355  |   0   | 0011 | fffd | 000000000001011 |
| 1356  |   0   | 0011 | 0061 | 000000000001100 |
| 1357  |   0   | 0010 | 0061 | 000000000001101 |
| 1358  |   0   | 0010 | 0061 | 000000000001110 |
| 1359  |   0   | 0011 | 0061 | 000000000001111 |
| 1360  |   0   | 0011 | 0061 | 000000000010000 |
| 1361  |   0   | 0004 | 0061 | 000000000010001 |
| 1362  |   0   | 0004 | 0061 | 000000000000100 |
| 1363  |   0   | 0011 | 0061 | 000000000000101 |
| 1364  |   0   | 0011 | 0062 | 000000000000110 |
| 1365  |   0   | 0064 | 0062 | 000000000000111 |
| 1366  |   0   | 0064 | fffe | 000000000001000 |
| 1367  |   0   | 0012 | fffe | 000000000001001 |
| 1368  |   0   | 0012 | fffe | 000000000001010 |
| 1369  |   0   | 0011 | fffe | 000000000001011 |
| 1370  |   0   | 0011 | 0062 | 000000000001100 |
| 1371  |   0   | 0010 | 0062 | 000000000001101 |
| 1372  |   0   | 0010 | 0062 | 000000000001110 |
| 1373  |   0   | 0011 | 0062 | 000000000001111 |
| 1374  |   0   | 0011 | 0062 | 000000000010000 |
| 1375  |   0   | 0004 | 0062 | 000000000010001 |
| 1376  |   0   | 0004 | 0062 | 000000000000100 |
| 1377  |   0   | 0011 | 0062 | 000000000000101 |
| 1378  |   0   | 0011 | 0063 | 000000000000110 |
| 1379  |   0   | 0064 | 0063 | 000000000000111 |
| 1380  |   0   | 0064 | ffff | 000000000001000 |
| 1381  |   0   | 0012 | ffff | 000000000001001 |
| 1382  |   0   | 0012 | ffff | 000000000001010 |
| 1383  |   0   | 0011 | ffff | 000000000001011 |
| 1384  |   0   | 0011 | 0063 | 000000000001100 |
| 1385  |   0   | 0010 | 0063 | 000000000001101 |
| 1386  |   0   | 0010 | 0063 | 000000000001110 |
| 1387  |   0   | 0011 | 0063 | 000000000001111 |
| 1388  |   0   | 0011 | 0063 | 000000000010000 |
| 1389  |   0   | 0004 | 0063 | 000000000010001 |
| 1390  |   0   | 0004 | 0063 | 000000000000100 |
| 1391  |   0   | 0011 | 0063 | 000000000000101 |
| 1392  |   0   | 0011 | 0064 | 000000000000110 |
| 1393  |   0   | 0064 | 0064 | 000000000000111 |
| 1394  |   0   | 0064 | 0000 | 000000000001000 |
| 1395  |   0   | 0012 | 0000 | 000000000001001 |
| 1396  |   0   | 0012 | 0000 | 000000000010010 |
| 1397  |   0   | 0012 | 0000 | 000000000010011 |
| 1398  |   0   | 0012 | 0000 | 000000000010010 |
| 1399  |   0   | 0012 | 0000 | 000000000010011 |
| 1400  |   0   | 0012 | 0000 | 000000000010010 |
| 1401  |   0   | 0012 | 0000 | 000000000010011 |
| 1402  |   0   | 0012 | 0000 | 000000000010010 |
| 1403  |   0   | 0012 | 0000 | 000000000010011 |
| 1404  |   0   | 0012 | 0000 | 000000000010010 |
| 1405  |   0   | 0012 | 0000 | 000000000010011 |
| 1406  |   0   | 0012 | 0000 | 000000000010010 |
| 1407  |   0   | 0012 | 0000 | 000000000010011 |
| 1408  |   0   | 0012 | 0000 | 000000000010010 |
| 1409  |   0   | 0012 | 0000 | 000000000010011 |
| 1410  |   0   | 0012 | 0000 | 000000000010010 |
| 1411  |   0   | 0012 | 0000 | 000000000010011 |
| 1412  |   0   | 0012 | 0000 | 000000000010010 |
| 1413  |   0   | 0012 | 0000 | 000000000010011 |
| 1414  |   0   | 0012 | 0000 | 000000000010010 |
| 1415  |   0   | 0012 | 0000 | 000000000010011 |
| 1416  |   0   | 0012 | 0000 | 000000000010010 |
| 1417  |   0   | 0012 | 0000 | 000000000010011 |
| 1418  |   0   | 0012 | 0000 | 000000000010010 |
| 1419  |   0   | 0012 | 0000 | 000000000010011 |
| 1420  |   0   | 0012 | 0000 | 000000000010010 |
| 1421  |   0   | 0012 | 0000 | 000000000010011 |
| 1422  |   0   | 0012 | 0000 | 000000000010010 |
| 1423  |   0   | 0012 | 0000 | 000000000010011 |
| 1424  |   0   | 0012 | 0000 | 000000000010010 |
| 1425  |   0   | 0012 | 0000 | 000000000010011 |
| 1426  |   0   | 0012 | 0000 | 000000000010010 |
| 1427  |   0   | 0012 | 0000 | 000000000010011 |
| 1428  |   0   | 0012 | 0000 | 000000000010010 |
| 1429  |   0   | 0012 | 0000 | 000000000010011 |
| 1430  |   0   | 0012 | 0000 | 000000000010010 |
| 1431  |   0   | 0012 | 0000 | 000000000010011 |
| 1432  |   0   | 0012 | 0000 | 000000000010010 |
| 1433  |   0   | 0012 | 0000 | 000000000010011 |
| 1434  |   0   | 0012 | 0000 | 000000000010010 |
| 1435  |   0   | 0012 | 0000 | 000000000010011 |
| 1436  |   0   | 0012 | 0000 | 000000000010010 |
| 1437  |   0   | 0012 | 0000 | 000000000010011 |
| 1438  |   0   | 0012 | 0000 | 000000000010010 |
| 1439  |   0   | 0012 | 0000 | 000000000010011 |
| 1440  |   0   | 0012 | 0000 | 000000000010010 |
| 1441  |   0   | 0012 | 0000 | 000000000010011 |
| 1442  |   0   | 0012 | 0000 | 000000000010010 |
| 1443  |   0   | 0012 | 0000 | 000000000010011 |
| 1444  |   0   | 0012 | 0000 | 000000000010010 |
| 1445  |   0   | 0012 | 0000 | 000000000010011 |
| 1446  |   0   | 0012 | 0000 | 000000000010010 |
| 1447  |   0   | 0012 | 0000 | 000000000010011 |
| 1448  |   0   | 0012 | 0000 | 000000000010010 |
| 1449  |   0   | 0012 | 0000 | 000000000010011 |
| 1450  |   0   | 0012 | 0000 | 000000000010010 |
| 1451  |   0   | 0012 | 0000 | 000000000010011 |
| 1452  |   0   | 0012 | 0000 | 000000000010010 |
| 1453  |   0   | 0012 | 0000 | 000000000010011 |
| 1454  |   0   | 0012 | 0000 | 000000000010010 |
| 1455  |   0   | 0012 | 0000 | 000000000010011 |
| 1456  |   0   | 0012 | 0000 | 000000000010010 |
| 1457  |   0   | 0012 | 0000 | 000000000010011 |
| 1458  |   0   | 0012 | 0000 | 000000000010010 |
| 1459  |   0   | 0012 | 0000 | 000000000010011 |
| 1460  |   0   | 0012 | 0000 | 000000000010010 |
| 1461  |   0   | 0012 | 0000 | 000000000010011 |
| 1462  |   0   | 0012 | 0000 | 000000000010010 |
| 1463  |   0   | 0012 | 0000 | 000000000010011 |
| 1464  |   0   | 0012 | 0000 | 000000000010010 |
| 1465  |   0   | 0012 | 0000 | 000000000010011 |
| 1466  |   0   | 0012 | 0000 | 000000000010010 |
| 1467  |   0   | 0012 | 0000 | 000000000010011 |
| 1468  |   0   | 0012 | 0000 | 000000000010010 |
| 1469  |   0   | 0012 | 0000 | 000000000010011 |
| 1470  |   0   | 0012 | 0000 | 000000000010010 |
| 1471  |   0   | 0012 | 0000 | 000000000010011 |
| 1472  |   0   | 0012 | 0000 | 000000000010010 |
| 1473  |   0   | 0012 | 0000 | 000000000010011 |
| 1474  |   0   | 0012 | 0000 | 000000000010010 |
| 1475  |   0   | 0012 | 0000 | 000000000010011 |
| 1476  |   0   | 0012 | 0000 | 000000000010010 |
| 1477  |   0   | 0012 | 0000 | 000000000010011 |
| 1478  |   0   | 0012 | 0000 | 000000000010010 |
| 1479  |   0   | 0012 | 0000 | 000000000010011 |
| 1480  |   0   | 0012 | 0000 | 000000000010010 |
| 1481  |   0   | 0012 | 0000 | 000000000010011 |
| 1482  |   0   | 0012 | 0000 | 000000000010010 |
| 1483  |   0   | 0012 | 0000 | 000000000010011 |
| 1484  |   0   | 0012 | 0000 | 000000000010010 |
| 1485  |   0   | 0012 | 0000 | 000000000010011 |
| 1486  |   0   | 0012 | 0000 | 000000000010010 |
| 1487  |   0   | 0012 | 0000 | 000000000010011 |
| 1488  |   0   | 0012 | 0000 | 000000000010010 |
| 1489  |   0   | 0012 | 0000 | 000000000010011 |
| 1490  |   0   | 0012 | 0000 | 000000000010010 |
| 1491  |   0   | 0012 | 0000 | 000000000010011 |
| 1492  |   0   | 0012 | 0000 | 000000000010010 |
| 1493  |   0   | 0012 | 0000 | 000000000010011 |
| 1494  |   0   | 0012 | 0000 | 000000000010010 |
| 1495  |   0   | 0012 | 0000 | 000000000010011 |
| 1496  |   0   | 0012 | 0000 | 000000000010010 |
| 1497  |   0   | 0012 | 0000 | 000000000010011 |
| 1498  |   0   | 0012 | 0000 | 000000000010010 |
| 1499  |   0   | 0012 | 0000 | 000000000010011 |
| 1500  |   0   | 0012 | 0000 | 000000000010010 |
