| time | reset |ARegis|DRegis|      PC[]       |    RAM64[16]     |    RAM64[17]     |    RAM64[18]     |    RAM64[19]     |
| 0    |   0   | 0000 | 0000 | 000000000000000 |             0000 |             0000 |             0000 |             0000 |
| 1    |   0   | 0010 | 0000 | 000000000000001 |             000f |             000f |             000f |             0000 |
| 2    |   0   | 0010 | 000f | 000000000000010 |             000f |             000f |             000f |             0000 |
| 3    |   0   | 0011 | 000f | 000000000000011 |             000f |             000f |             000f |             0000 |
| 4    |   0   | 0011 | 001e | 000000000000100 |             000f |             000f |             000f |             0000 |
| 5    |   0   | 0012 | 001e | 000000000000101 |             000f |             000f |             000f |             0000 |
| 6    |   0   | 0012 | 000f | 000000000000110 |             000f |             000f |             000f |             0000 |
| 7    |   0   | 0013 | 000f | 000000000000111 |             000f |             000f |             000f |             0000 |
| 8    |   0   | 0013 | 000f | 000000000001000 |             000f |             000f |             000f |             000f |
